"collections_title","collections_url","collections_tags_media","collections_tags_subject","collections_description"
"Alan Lomax Collection of Michigan and Wisconsin Recordings","https://www.loc.gov/collections/alan-lomax-in-michigan/about-this-collection/","","","In 1938 the Library of Congress dispatched the pioneering folklorist and song collector Alan Lomax—already a seasoned field worker at age 23—to conduct a folk song survey of the Great Lakes region. He traveled in a 1935 Plymouth sedan\, toting a Presto disc recorder and a movie camera. When he returned nearly three months later\, having driven thousands of miles on barely paved roads\,..."
"Albert Schatz Collection","https://www.loc.gov/collections/albert-schatz/about-this-collection/","","","Albert Schatz (1839-1910) was a German music dealer with life-long interest in opera and its history. In 1873\, when Schatz assumed ownership of the Musikalienhandlung Ludwig Trutschel Nachfolger in Rostock\, Germany\, he confirmed his intent to write a comprehensive history of opera through the study of primary sources. Research for the book necessitated extensive travel throughout Europe to collect libretti including many first and..."
"Alexander Graham Bell Family Papers at the Library of Congress","https://www.loc.gov/collections/alexander-graham-bell-papers/about-this-collection/","Media-Photos","","The collection contains over 145\,000 items. The online version contains 4\,695 items (equaling about 51\,500 images)\, consists of correspondence\, scientific notebooks\, journals\, blueprints\, articles\, and photographs documenting Bell's invention of the telephone and his involvement in the first telephone company\, his family life\, his interest in the education of the deaf\, and his aeronautical and other scientific research. Dates span from 1862 to 1939\,..."
"Alexander Hamilton Papers","https://www.loc.gov/collections/alexander-hamilton-papers/about-this-collection/","","","The papers of Alexander Hamilton (ca. 1757-1804)\, first treasury secretary of the United States\, consist of his personal and public correspondence\, drafts of his writings (although not his Federalist essays)\, and correspondence among members of the Hamilton and Schuyler families. The collection\, consisting of approximately 12\,000 items dating from 1708 to 1917\, documents Hamilton's impoverished Caribbean boyhood (scantily); events in the lives of his..."
"Alexander Hamilton Stephens Papers","https://www.loc.gov/collections/alexander-hamilton-stephens-papers/about-this-collection/","","","The papers of Alexander Hamilton Stephens (1812-1883)\, lawyer\, journalist\, governor of Georgia\, member of both houses of the United States Congress\, and vice president of the Confederate States of America\, span the years 1784-1886\, with the bulk of the material concentrated in the period 1850-1883. The collection consists primarily of correspondence\, supplemented by an autobiography and journal and miscellaneous memoranda\, legal documents\, and clippings...."
"The Alfred Whital Stern Collection of Lincolniana","https://www.loc.gov/collections/alfred-whital-stern-lincolniana/about-this-collection/","","","The collection contains more than 11\,100 items. This online release presents over 1\,300 items with a over 4\,000 images and a date range of 1824-1931. It includes the complete collection of Stern's contemporary newspapers\, Lincoln's law papers\, sheet music\, broadsides\, prints\, cartoons\, maps\, drawings\, letters\, campaign tickets\, and other ephemeral items. The books and pamphlets in this collection are scheduled for digitization at a..."
"Amazing Grace","https://www.loc.gov/collections/amazing-grace/about-this-collection/","","","This collection highlights the history of the hymn “Amazing Grace” from the earliest printing of the song to selected performances of it on published and field recordings. These items have been collected from several divisions in the Library of Congress\, including the Music Division\, the American Folklife Center\, the Motion Picture\, Broadcasting and Recorded Sound Division\, and the Rare Books Division. Also available here..."
"America at Work\, America at Leisure: Motion Pictures from 1894-1915","https://www.loc.gov/collections/america-at-work-and-leisure-1894-to-1915/about-this-collection/","","","Work\, school\, and leisure activities in the United States from 1894 to 1915 are featured in this presentation of 150 motion pictures. Highlights include films of the United States Postal Service from 1903\, cattle breeding\, fire fighters\, ice manufacturing\, logging\, calisthenic and gymnastic exercises in schools\, amusement parks\, boxing\, expositions\, football\, parades\, swimming\, and other sporting events. America at Work\, America at Leisure: Motion..."
"America Singing: Nineteenth-Century Song Sheets","https://www.loc.gov/collections/nineteenth-century-song-sheets/about-this-collection/","","","Contains 4291 song sheets. Included among these American songs are ninety-seven British song sheets from Dublin and London. The collection spans the period from the turn of the nineteenth century to the 1880s\, although a majority of the song sheets were published during the height of the craze\, from the 1850s to the 1870s. Held by the Rare Book and Special Collections Division of..."
"An American Ballroom Companion: Dance Instruction Manuals\, ca. 1490-1920","https://www.loc.gov/collections/dance-instruction-manuals-from-1490-to-1920/about-this-collection/","","","A collection of over two hundred social dance manuals at the Library of Congress. The list begins with a rare late fifteenth-century source\, Les basses danses de Marguerite d'Autriche (c.1490) and ends with Ella Gardner's 1929 Public dance halls\, their regulation and place in the recreation of adolescents. Along with dance instruction manuals\, this online presentation also includes a significant number of antidance manuals\,..."
"American Choral Music","https://www.loc.gov/collections/american-choral-music/about-this-collection/","","","The seventy-six works presented here are limited to a period beginning shortly after the Civil War and ending at 1922. The music selected reflects the diversity of choral music in the collections written during the later nineteenth and early-twentieth centuries and includes accompanied music\, a cappella\, sacred and secular music\, and works for mixed choirs\, for women's and men's ensembles\, and for children's choruses...."
"American Colony in Jerusalem\, 1870-2006","https://www.loc.gov/collections/american-colony-in-jerusalem/about-this-collection/","","","This electronic presentation features selected materials from the physical American Colony in Jerusalem Collection. The full collection in the Manuscript Division of the Library of Congress represents well over 16\,600 items stemming from the history of the American Colony\, a non-denominational utopian Christian community founded by a small group of American expatriates in Ottoman Palestine in 1881. The collection focuses on the personal and..."
"American English Dialect Recordings: The Center for Applied Linguistics Collection","https://www.loc.gov/collections/american-english-dialect-recordings-from-the-center-for-applied-linguistics/about-this-collection/","","","The Center for Applied Linguistics Collection contains 118 hours of recordings documenting North American English dialects. The recordings include speech samples\, linguistic interviews\, oral histories\, conversations\, and excerpts from public speeches. They were drawn from various archives\, and from the private collections of fifty collectors\, including linguists\, dialectologists\, and folklorists. They were submitted to the Center for Applied Linguistics as part of a project..."
"American Leaders Speak: Recordings from World War I","https://www.loc.gov/collections/world-war-i-and-1920-election-recordings/about-this-collection/","","War-WW1","The Nation's Forum recordings were made between 1918 and 1920 in an effort to preserve the voices of prominent Americans; in most cases\, they are the only surviving recordings of a speaker. The project originated with St. Louis attorney Guy Golterman (1879-1967)\, an active supporter of the opera and other performing arts. With the endorsement of the Department of State's Committee on Public Information..."
"American Life Histories: Manuscripts from the Federal Writers' Project\, 1936-1940","https://www.loc.gov/collections/federal-writers-project/about-this-collection/","","","This collection of life histories consists of approximately 2\,900 documents\, compiled and transcribed by more than 300 writers from 24 states\, working on the Folklore Project of the Federal Writers’ Project\, a New Deal jobs program that was part of the U.S. Works Progress (later Work Projects) Administration (WPA) from 1936 to 1940. Typically 2\,000-15\,000 words in length\, the documents vary in form from..."
"American Notes: Travels in America\, 1750-1920","https://www.loc.gov/collections/travels-in-america-1750-to-1920/about-this-collection/","","","Comprises 253 published narratives by Americans and foreign visitors recounting their travels in the colonies and the United States and their observations and opinions about American peoples\, places\, and society from about 1750 to 1920. Also included is the thirty-two-volume set of manuscript sources entitled Early Western Travels\, 1748-1846\, published between 1904 and 1907 after diligent compilation by the distinguished historian and secretary of..."
"American Revolution and Its Era: Maps and Charts of North America and the West Indies\, 1750-1789","https://www.loc.gov/collections/american-revolutionary-war-maps/about-this-collection/","Media-Maps","War-AmericanRevolution","The collection represents an important historical record of the mapping of North America and the Caribbean. Most of the items presented here are documented in Maps and Charts of North America and the West Indies\, 1750-1789: A Guide to the Collections in the Library of Congress compiled by John R. Sellers and Patricia Molen van Ee in 1981. The bibliography contains approximately 2\,000 maps..."
"American Variety Stage: Vaudeville and Popular Entertainment\, 1870-1920","https://memory.loc.gov/ammem/vshtml/vshome.html","Media-Photos","","This collection illustrates the vibrant and diverse forms of popular entertainment\, especially vaudeville\, that thrived from 1870-1920. Included are 334 English- and Yiddish-language playscripts\, 146 theater playbills and programs\, 61 motion pictures\, 10 sound recordings and 143 photographs and 29 memorabilia items documenting the life and career of Harry Houdini. Groups of theater posters and additional sound recordings will be added to this anthology..."
"Ancestral Voices","https://www.loc.gov/collections/ancestral-voices/about-this-collection/","","","Among the very first activities of the American Folklife Center (AFC) -- created in 1976 -- was the Federal Cylinder Project (FCP)\, a large-scale initiative to preserve and provide access to historic and fragile field recordings captured on wax cylinders\, many dating back to the late nineteenth century. The goal of the FCP (1977-1987) was to gather together thousands of such historical recordings held..."
"Andrew Jackson Papers","https://www.loc.gov/collections/andrew-jackson-papers/about-this-collection/","","","The Andrew Jackson Papers is one of twenty-three presidential collections in the Manuscript Division of the Library of Congress. The Jackson archival collection contains more than 26\,000 items dating from 1767 to 1874. Included are memoranda\, journals\, speeches\, military records\, land deeds\, and miscellaneous printed matter\, as well as correspondence reflecting Jackson’s personal life and career as a politician\, military officer\, president\, slave holder..."
"Anna E. Dickinson Papers","https://www.loc.gov/collections/anna-e-dickinson-papers/about-this-collection/","","","The papers of lecturer\, reformer\, actress\, and author Anna Elizabeth Dickinson (1842-1932) span the period 1859-1951\, but are chiefly concentrated in the years from 1859 to 1911. The collection consists of approximately 10\,000 items (20\,221 images)\, most of which were digitized from 25 microfilm reels. Included are family correspondence\, general correspondence\, speeches and writings\, a legal file\, financial papers\, newspaper clippings\, scrapbooks\, and research..."
"Anna Maria Brodeau Thornton Papers","https://www.loc.gov/collections/anna-maria-brodeau-thornton-papers/about-this-collection/","","","The seven volumes of diaries and notebooks\, 1793-1861\, of Anna Maria Brodeau Thornton (ca.1775-1865) document her position at the center of a Washington\, D.C.\, social circle that included George and Martha Washington\, James and Dolley Madison\, Thomas Jefferson\, Margaret Bayard Smith\, and the cabinet members\, congressmen\, and diplomats who constituted the city's entwined social and political worlds. Thornton was the daughter of Ann Brodeau\,..."
"Ansel Adams's Photographs of Japanese-American Internment at Manzanar","https://www.loc.gov/collections/ansel-adams-manzanar/about-this-collection/","Media-Photos","War-WW2","In 1943\, Ansel Adams (1902-1984)\, America's most well-known photographer\, documented the Manzanar War Relocation Center in California and the Japanese-Americans interned there during World War II. For the first time\, digital scans of both Adams's original negatives and his photographic prints appear side by side allowing viewers to see Adams's darkroom technique\, in particular\, how he cropped his prints. Adams's Manzanar work is a..."
"Architecture\, Design & Engineering Drawings","https://www.loc.gov/collections/architecture-design-and-engineering-drawings/about-this-collection/","","","The Architecture\, Design\, and Engineering category covers about 40\,000 drawings (described in more than 3\,900 catalog records)\, spanning 1600 to 1989\, with most dating between 1880 and 1940. The designs are primarily for sites and structures in the U.S. (especially Washington\, D.C.)\, as well as Europe and Mexico. American architects and architectural firms created most of the images. Building types range from the United..."
"Archive of Hispanic Literature on Tape","https://www.loc.gov/collections/archive-of-hispanic-literature-on-tape/about-this-collection/","","","Listen to audio recordings of prominent Hispanic writers including Nobel Laureates Gabriel García Márquez\, Juan Ramón Jiménez\, Gabriela Mistral\, Pablo Neruda\, and Octavio Paz\, and renowned writers Jorge Amado\, Jorge Luis Borges\, and Julio Cortázar reading from their works at the Library of Congress. The Archive of Hispanic Literature on Tape at the Library of Congress dates back to 1943. It contains nearly seven-hundred..."
"Archive of Recorded Poetry and Literature","https://www.loc.gov/collections/archive-of-recorded-poetry-and-literature/about-this-collection/","","","Listen to audio-recorded readings of former Consultants in Poetry Elizabeth Bishop\, Gwendolyn Brooks and Robert Frost; Nobel Laureates Mario Vargas Llosa and Czeslaw Milosz\, and renowned writers such as Ray Bradbury\, Margaret Atwood\, and Kurt Vonnegut read from their work at the Library of Congress. The Archive of Recorded Poetry and Literature at the Library of Congress dates back to 1943\, when Allen Tate..."
"Associated Press News Dispatches\, 1915-1930","https://www.loc.gov/collections/associated-press-news-dispatches-1915-to-1930/about-this-collection/","","","The collection of news dispatches of the Washington\, D.C.\, Bureau of the Associated Press spans the period 1915-1930 and consists of 375 volumes (387\,082 images)\, housed in 254 boxes\, the contents of which provide an unbroken chronology of world and national events as reported by the news agency. While newspapers have long been a part of the national discourse\, even predating the American Revolution\,..."
"Bain Collection","https://www.loc.gov/collections/bain/about-this-collection/","Media-Photos","","The George Grantham Bain Collection represents the photographic files of one of America's earliest news picture agencies. The collection richly documents sports events\, theater\, celebrities\, crime\, strikes\, disasters\, political activities including the woman suffrage campaign\, conventions and public celebrations. The photographs Bain produced and gathered for distribution through his news service were worldwide in their coverage\, but there was a special emphasis on life..."
"Ballets Russes de Serge Diaghilev","https://www.loc.gov/collections/ballets-russes-de-serge-diaghilev/about-this-collection/","","","The world of ballet changed dramatically when the Ballets Russes de Serge Diaghilev took Paris by storm at the Théâtre du Châtelet in May of 1909. Armed with ground-breaking choreographic originality and an innovative use of collaborating artists\, the Ballets Russes produced some of the most significant ballet masterpieces of the twentieth century\, including Les Sylphides\, Schéhérazade\, Firebird\, Petrouchka\, L’Après-midi d’un Faune\, Parade\, Les..."
"Band Music from the Civil War Era","https://www.loc.gov/collections/civil-war-band-music/about-this-collection/","","","On September 27\, 1974\, the Music Division of the Library of Congress re-created a typical concert of brass band and vocal music from mid-nineteenth-century America. That concert has become the starting-point for Band Music from the Civil War Era\, an online collection that brings together musical scores\, recordings\, photographs\, and essays documenting an important but insufficiently explored part of the American musical past. The..."
"Baseball Cards","https://www.loc.gov/collections/baseball-cards/about-this-collection/","","","The Benjamin K. Edwards Collection includes 2\,100 early baseball cards dating from 1887 to 1914. Distributed in cigarette packs\, these cards were the forerunners of modern sports trading cards. They portray such legendary figures of the game as Ty Cobb stealing third base for Detroit\, Tris Speaker batting for Boston\, and pitcher Cy Young posing in his Cleveland uniform. Although many of the greatest..."
"Baseball Sheet Music","https://www.loc.gov/collections/baseball-sheet-music/about-this-collection/","","","This presentation features 147 items of sheet music that reference baseball from the late nineteenth century to the early twentieth century. Many of the items shown represent the earliest widely-distributed baseball collectibles; the value of these objects lies both in their music and lyrics as well as in their elaborately illustrated covers\, which furnish a factual and cultural history of our national game\, its..."
"Before and After the Great Earthquake and Fire: Early Films of San Francisco\, 1897-1916","https://www.loc.gov/collections/san-francisco-earthquake-and-fire-1897-to-1916/about-this-collection/","","","This collection consists of twenty-six films of San Francisco from before and after the Great Earthquake and Fire\, 1897-1916. Seventeen of the films depict San Francisco and its environs before the 1906 disaster. Seven films describe the great earthquake and fire. The two later films include a 1915 travelogue that shows scenes of the rebuilt city and a tour of the Panama Pacific Exposition..."
"Benjamin Franklin Papers","https://www.loc.gov/collections/benjamin-franklin-papers/about-this-collection/","","","The papers of statesman\, publisher\, scientist\, and diplomat Benjamin Franklin (1706-1790) consist of approximately 8\,000 items spanning the years 1726 to 1907\, with most dating from the 1770s and 1780s. The collection's principal strength is its documentation of Franklin's diplomatic roles as a colonial representative in London (1757-1762 and 1764-1775) and France (1776-1785)\, where he sought to win recognition and funding from European countries..."
"Betty Herndon Maury Maury Papers","https://www.loc.gov/collections/betty-herndon-maury-maury-papers/about-this-collection/","","War-AmericanCivilWar","The papers of diarist Betty Herndon Maury Maury (1835-1903) consist of a diary kept by Maury from June 3\, 1861\, to February 18\, 1863. The two-volume diary was scanned from one reel of microfilm. Maury wrote the diary primarily in Fredericksburg\, Virginia\, and it contains detailed comments on the progress of the American Civil War\, especially in the local area; contributions by women to..."
"Books About Music Before 1800","https://www.loc.gov/collections/books-about-music-before-1800/about-this-collection/","","","Shortly after the Music Division was established 120 years ago\, a handful of acquisition priorities were agreed upon: early writings about music published before 1801 were identified as having both historical significance and a high research value and consequently gained top priority status in our collection development. Because of the persistent and successful efforts of our predecessors\, well over fifty percent of all books..."
"Born in Slavery: Save Narrative from the Federal Writers' Project\, 1936-1938","https://www.loc.gov/collections/slave-narratives-from-the-federal-writers-project-1936-to-1938/about-this-collection/","Media-Photos","","Born in Slavery: Slave Narratives from the Federal Writers' Project\, 1936-1938 contains more than 2\,300 first-person accounts of slavery and 500 black-and-white photographs of former slaves. These narratives were collected in the 1930s as part of the Federal Writers' Project (FWP) of the Works Progress Administration\, later renamed Work Projects Administration (WPA). At the conclusion of the Slave Narrative project\, a set of edited..."
"Brady-Handy Collection","https://www.loc.gov/collections/brady-handy/about-this-collection/","Media-Photos","War-AmericanCivilWar","In 1954 the Library of Congress purchased from Alice H. Cox and Mary H. Evans\, the daughters of Levin C. Handy approximately 10\,000 original\, duplicate\, and copy negatives. The L.C. Handy Studio had been located at 494 Maryland Avenue SW\, Washington\, DC. Levin C. Handy (1855?-1932) was apprenticed at the age of twelve to his uncle\, famed Civil War photographer Mathew B. Brady (1823?-1896)...."
"Branch Rickey Papers","https://www.loc.gov/collections/branch-rickey-papers/about-this-collection/","","","The approximately 1\,750 baseball scouting reports from the 1950s and 1960s presented here are part of the papers of Branch Rickey (1881-1965)\, best known as the executive who broke Major League Baseball's color line by signing Jackie Robinson to the Brooklyn Dodgers roster in 1947. By that date\, however\, Rickey had already built an impressive career as a player\, manager\, and baseball executive\, which..."
"Brazil Cordel Literature Web Archive","https://www.loc.gov/collections/brazil-cordel-literature-web-archive/about-this-collection/","","","Collection Period: November 29\, 2011 to ongoing. Brazilian chapbooks\, known as literatura de cordel\, are typically sold at street fairs\, where the pamphlets are hung by string (cordel in Portuguese). They are a grassroots form of communication whose purpose is both education and entertainment. Cordel pamphlets serve the community by alerting them to health concerns such as dengue fever. They provide entertainment in the..."
"Brazilian Presidential Election 2010 Web Archive","https://www.loc.gov/collections/brazilian-presidential-election-2010-web-archive/about-this-collection/","","","Collection Period: September 2010 to January 2011. The Brazilian elections were held October 3\, 2010. The president\, Luiz Inácio Lula da Silva\, was not allowed by law to run for another term\, as he had already served two terms. So there was great interest in whether voters supported Lula's candidate (his current Chief of Staff)\, the candidate of the major opposition party\, or even..."
"Bronislava Nijinska Collection","https://www.loc.gov/collections/bronislava-nijinska/about-this-collection/","Media-Photos","","The collection of notable dancer\, choreographer and teacher Bronislava Nijinska (1891-1972) contains a diverse variety of materials documenting dance and the arts in the twentieth century. Available here are over 200 collection items\, including manuscripts\, books\, diaries\, choreographic notebooks\, correspondence\, moving image materials\, music scores\, photographs\, posters\, programs\, set and costume designs\, and scrapbooks. Photograph of Bronislava Nijinska\, graduation picture\, 1908. Music Division\, Library..."
"Brumfield Collection","https://www.loc.gov/collections/brumfield/about-this-collection/","Media-Photos","","William C. Brumfield\, Professor of Russian Studies at Tulane University\, New Orleans\, Louisiana\, has extensively photographed and written about the wooden architecture of the Russian North\, the jumping-off point for the explorers\, traders\, and missionaries who colonized Siberia. He also has photographed the distinctive architecture of such Siberian cities as Perm\, Tiumen'\, Tobol'sk\, and Tomsk. The William C. Brumfield Collection contains photographs given to..."
"Buckaroos in Paradise: Ranching Culture in Northern Nevada\, 1945-1982","https://www.loc.gov/collections/ranching-culture-in-northern-nevada-from-1945-to-1982/about-this-collection/","Media-Photos","","Includes 41 motion pictures and 28 sound recordings\, motion pictures produced from 1945 to 1965 by Leslie Stewart (owner of the Ninety-Six Ranch)\, 2\,400 still photographs drawn from the Center's ethnographic field project conducted 1978-1982 and from historic photos dating 1870-1958. Background essays provide historical and cultural context for this distinctive northern Nevada ranching community. Buckaroos in Paradise: Ranching Culture in Northern Nevada\, 1945-1982..."
"Burma/Myanmar General Election 2010 Web Archive","https://www.loc.gov/collections/burma-myanmar-general-election-2010-web-archive/about-this-collection/","","","Collection Period: May 2010 to January 2011. The November 7\, 2010 Burma/Myanmar elections provided for under the 2008 constitution were watched by the world as critical to a government seeking broader legitimacy in the road to democracy. Most governments\, including the United States\, criticized the elections as not meeting international standards of free and fair elections. Two main parties contested: the Union Solidarity and..."
"By Popular Demand: Jackie Robinson and Other Baseball Highlights\, 1860s-1960s","https://www.loc.gov/collections/jackie-robinson-baseball/about-this-collection/","","","2007 marks the 60th anniversary of Jackie Robinson's rookie season for the Brooklyn Dodgers. When he stepped onto Ebbets field on April 15th\, 1947\, Robinson became the first African American in the twentieth century to play baseball in the major leagues -- breaking the \"color line\,\" a segregation practice dating to the nineteenth century. Jackie Robinson was an extremely talented multi-sport athlete and a..."
"Cabinet of American Illustration","https://www.loc.gov/collections/cabinet-of-american-illustration/about-this-collection/","","","Contains more than four thousand original drawings by American book\, magazine\, and newspaper illustrators\, made primarily between 1880 and 1910. The collection includes illustrations for magazines\, novels\, and children's books; cartoons; cover designs; and sketches for posters. More than two hundred artists are represented\, including Charles Dana Gibson\, Elizabeth Shippen Green\, Oliver Herford\, and Jessie Wilcox Smith. The collection was the brainchild of William..."
"California as I Saw It: First-Person Narratives of California's Early Years\, 1849-1900","https://www.loc.gov/collections/california-first-person-narratives/about-this-collection/","","","The collection covers the dramatic decades between the Gold Rush and the turn of the twentieth century. It captures the pioneer experience; encounters between Anglo-Americans and the diverse peoples who had preceded them; the transformation of the land by mining\, ranching\, agriculture\, and urban development; the often-turbulent growth of communities and cities; and California's emergence as both a state and a place of uniquely..."
"California Gold: Northern California Folk Music from the Thirties Collected by Sidney Robertson Cowell","https://www.loc.gov/collections/sidney-robertson-cowell-northern-california-folk-music/about-this-collection/","","","This online presentation\, California Gold: Northern California Folk Music from the Thirties\, comprises 35 hours of folk music recorded in 12 languages representing numerous ethnic groups and 185 musicians. It includes sound recordings\, still photographs of the performers\, drawings of folk instruments\, and written documentation from a variety of European ethnic and English- and Spanish-speaking communities in northern California in the 1930s. This New..."
"Cambini Quintets","https://www.loc.gov/collections/cambini-collection/about-this-collection/","","","Among the Library of Congress's musical treasures are a set of unique manuscripts by Italian composer Giuseppe Maria Gioacchino Cambini (1746-1825?) that contain music for over 100 of his string quintets. These scores were previously held in private ownership for well over a century\, a fate that relegated the quintets (and hundreds of his other compositions) into total obscurity: to our knowledge\, the manuscripts..."
"Capital and the Bay: Narratives of Washington and the Chesapeake Bay Region\, 1600-1925","https://www.loc.gov/collections/washington-and-chesapeake-bay-narratives/about-this-collection/","","","The fourth in a series of local history collections presented by the National Digital Library Program as part of American Memory\, joining \"California As I Saw It\"\, Pioneering the Upper Midwest\, and Puerto Rico at the Dawn of the Modern Age. Together\, these online collections make up a virtual local history bookshelf. Like the other local history collections\, The Capital and the Bay comprises..."
"Captain Pearl R. Nye: Life on the Ohio and Erie Canal","https://www.loc.gov/collections/captain-pearl-r-nye-life-on-the-erie-and-ohio-canal/about-this-collection/","","","Captain Pearl R. Nye: Life on the Ohio and Erie Canal captures the culture and music of the men\, women\, and children who worked and lived along the Ohio and Erie Canal. Nye\, who was born and raised on a canal boat\, never lost his love of the \"Big Ditch.\" After the canal closed permanently in 1913\, he devoted considerable time and energy to..."
"The Carnegie Hall Collection of Conversations with Composers","https://www.loc.gov/collections/carnegie-hall-conversations-with-composers/about-this-collection/","","","Ellen Taaffe Zwilich held the first Carnegie Hall Composer’s Chair from 1995 to 1999. One of her many initiatives as chair was to build a video archive of interviews with composers whose works were premiered at Carnegie Hall and whose careers were influenced by that venerable cultural institution. These rich and often remarkably candid conversations feature composers Pierre Boulez\, Elliott Carter\, David Diamond\, Lukas..."
"Carnegie Survey of the Architecture of the South","https://www.loc.gov/collections/carnegie-survey-architecture-of-the-south/about-this-collection/","Media-Photos","","Noted architectural photographer Frances Benjamin Johnston (1864-1952) created a systematic record of early American buildings and gardens called the Carnegie Survey of the Architecture of the South (CSAS). This collection\, created primarily in the 1930s\, provides more than 7\,100 images showing an estimated 1\,700 structures and sites in rural and urban areas of Virginia\, Maryland\, North Carolina\, South Carolina\, Georgia\, Alabama\, and Louisiana\, and..."
"Carpenter Collection","https://www.loc.gov/collections/carpenter/about-this-collection/","Media-Photos","","The more than 15\,000 images in the Frank and Frances Carpenter Collection represent the extensive photographic files assembled by Frank G. Carpenter and his daughter Frances to illustrate his popular writings on travel and geography. Background and Scope Frank Carpenter | Frances Carpenter | Scope of the Collection Frank Carpenter [Frank Carpenter (left) and American Consul General Gabriel Bie Ravndal\, Bosporus\, Turkey]. 1923. LC-USZ62-131130..."
