"collections_title","collections_url","collections_tags_media","collections_tags_subject","collections_description"
"Alabama Civil War and Reconstruction Newspapers","http://digital.archives.alabama.gov/cdm/landingpage/collection/cwnp","","War-AmericanCivilWar","In honor of the Civil War and Reconstruction sesquicentennials the Alabama Department of Archives and History undertook a project to make all of its newspapers from that era available online. These issues have been digitized from microfilm. The quality varies greatly\, depending on the condition of the original paper and the film; …"
"Alabama History Education Materials","http://digital.archives.alabama.gov/cdm/landingpage/collection/lessons","","","The Alabama History Education Materials Collection features instructional activities and lesson plans that were created from the collections of the Alabama Department of Archives and History. The materials in this collection cover topics in Alabama History from the First Alabamians to the modern Civil Rights Movement and more. These …"
"Alabama Audiovisual Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/records","","","This collection consists of recordings and videos from the collections of the Alabama Department of Archives and History."
"Alabama Museum Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/museum","","","This collection features a selection of artifacts from the museum collection at the Alabama Department of Archives and History. Most of the items are also on display in the galleries of the Museum of Alabama: "
"History of Alabama and Dictionary of Alabama Biography","http://digital.archives.alabama.gov/cdm/landingpage/collection/dictionary","","","The History of Alabama and Dictionary of Alabama Biography\, written by Thomas McAdory Owen\, was published in 1921 by the S.J. Clarke Publishing Company. The company had approached Dr. Owen in 1911 with a proposal that he produce a history and biographical dictionary of the state. Dr. Owen had begun gathering materials and writing a …"
"Alabama Historical Quarterly","http://digital.archives.alabama.gov/cdm/landingpage/collection/quarterly","","","Collection contains the 119 issues of the Alabama Historical Quarterly published by the Alabama Department of Archives and History in 1930 and between 1940 and 1982."
"Alabama Official and Statistical Register","http://digital.archives.alabama.gov/cdm/landingpage/collection/register","","","Collection contains the twenty-one editions of the Alabama Official and Statistical Register published by the Alabama Department of Archives and History between 1903 and 1979."
"Alabama Writers' Project Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/wpa","","","The Works Progress Administration (WPA)\, the principal relief agency of the second New Deal\, was an attempt to provide work rather than welfare during the Great Depression. Under the WPA\, buildings\, roads\, airports and schools were constructed. Actors\, painters\, musicians and writers were employed through the Federal Theater …"
"Southern Poverty Law Center Reports","http://digital.archives.alabama.gov/cdm/landingpage/collection/splc","","","This collection contains the newsletter of the Southern Poverty Law Center published from 1973 to the present."
"Athens State University","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll10","","","This collection contains over 500 newspapers published by the students of Athens State University\, Alabama’s oldest continuously operating institution of higher education. Beginning in 1822 as Athens Female Academy\, Athens State University has formerly been called Athens Female Institute\, Athens Female College\, Athens College\, etc. The …"
"Autauga County Heritage Association","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll2","Media-Photographs","","This collection consists of images from the Daniel Pratt / Continental Gin Archives held by the Autauga County Historical Association. For more information about these historical records (which include documents\, photographs\, and engineering drawings)\, contact the ACHA: http://www.autaugahistory.org/contact-us.html."
"B.B. Comer Library","http://digital.archives.alabama.gov/cdm/landingpage/collection/sylacauga","","","Avondale Edward Akin Oral History Tapes Eddie Akin\, a doctoral student of Dr. Wayne Flynt\, conducted interviews with textile workers throughout Alabama during the 1970s and 1980s.The staff of the B.B. Comer Library digitized and made available what Dr. Flynt  calls “an unmatched collection of oral history tapes about a single textile …"
"Birmingham Civil Rights Institute","http://digital.archives.alabama.gov/cdm/landingpage/collection/bcri","","","On March 6\, 1965 – one day before the demonstration now known as Bloody Sunday took place in Selma\, Alabama -- seventy-two white citizens from throughout Alabama gathered on the steps of the Dallas County Courthouse to demonstrate support for the planned Selma-to-Montgomery voting rights march.  An off-shoot of the interracial Alabama …"
"Cobb Memorial Archives","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll5","Media-Photos\,Media-Maps","","Founded in 1976\, Cobb Memorial Archives serves Chambers County\, Alabama and West Point\, Georgia. Dedicated to preserving and making accessible the history of the Chattahoochee Valley area\, the archives collects documents\, photographs\, scrapbooks\, church histories\, civic club records\, maps\, and other local materials of enduring value. For …"
"Franelich Collection","http://digital.archives.alabama.gov/cdm/landingpage/collection/franelich","Media-Photos","","Photographs and documents relating to Mobile\, Alabama\, extending from 1851 to the early 1950s. Subjects include the construction and completion of the Mobile & Ohio Railroad Terminal and the N. Franelich Terminal Grocery and Saloon building across from the Terminal. Everyone identified in the collection lived in Mobile during this …"
"Historic Mobile Preservation Society","http://digital.archives.alabama.gov/cdm/landingpage/collection/hmps","Media-Photos","","Photographs of Albert Sandoz\, William E. Wilson Collection"
"Montgomery County Archives","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll8","","","Freedmen's Bureau Labor Contracts\, John Dowe Collection\, Montgomery County Slave Holder Affidavits"
"Northeast Alabama Community College","http://digital.archives.alabama.gov/cdm/landingpage/collection/nacc1","","","Describe your collection for visitors to your site."
"University of West Alabama","http://digital.archives.alabama.gov/cdm/landingpage/collection/uwa","","","Describe your collection for visitors to your site."
"The Wiregrass Archives","http://digital.archives.alabama.gov/cdm/landingpage/collection/wire01","","","Describe your collection for visitors to your site."
"Alabama Military Home Address Reports","http://digital.archives.alabama.gov/cdm/landingpage/collection/p17217coll16","","War-General","Describe your collection for visitors to your site."
